cycle,task,method,instances,features,classes,accuracy,f1,optimization_time,prediction_time,no_features,best_trial
0,3,baseline,3196,36,2,0.908237747653806,0.9064929309045783,0.0,0.15871524810791016,36,0
0,3,intercorrelation_filter,3196,36,2,0.908237747653806,0.9064929309045783,0.03125119209289551,0.13819289207458496,36,0
0,3,correlation_weighting,3196,36,2,0.9395203336809176,0.9386688013831552,0.03125119209289551,0.1562361717224121,36,0
0,3,tree_based_filter,3196,36,2,0.7372262773722628,0.7283872359938499,0.2812469005584717,0.10596990585327148,18,0
0,3,tree_based_weighting,3196,36,2,0.7382690302398331,0.7289303905305986,0.2812469005584717,0.07813072204589844,18,0
0,3,l1filter,3196,36,2,0.913451511991658,0.9123397469430639,0.015624523162841797,0.09374213218688965,19,0
0,3,relieff,3196,36,2,0.867570385818561,0.8647701571221258,0.31517529487609863,0.12498116493225098,27,0
0,3,relieff_weighting,3196,36,2,0.8832116788321168,0.8815077620976639,0.31517529487609863,0.14767193794250488,27,0
0,3,forward_selection,3196,36,2,0.9395203336809176,0.9385419428975514,7.079717397689819,0.05155825614929199,4,0
0,3,backwards_selection,3196,36,2,0.9103232533889468,0.9084549878345498,6.116867303848267,0.10936951637268066,34,0
0,3,stepwise_selection,3196,36,2,0.8978102189781022,0.8975847158412302,7.178953647613525,0.10753345489501953,21,0
0,3,bayesselection,3196,36,2,0.9259645464025026,0.924940775208155,33.584471702575684,0.07811117172241211,18,143
0,3,bayeswweighting,3196,36,2,0.9322210636079249,0.9312838082891558,91.24682879447937,0.13416838645935059,36,456
0,11,baseline,625,4,3,0.9308510638297872,0.7005307760483573,0.0,0.015624046325683594,4,0
0,11,intercorrelation_filter,625,4,3,0.9308510638297872,0.7005307760483573,0.0,0.015624046325683594,4,0
0,11,correlation_weighting,625,4,3,0.9202127659574468,0.6889329805996471,0.0,0.031246423721313477,4,0
0,11,tree_based_filter,625,4,3,0.9308510638297872,0.7005307760483573,0.1250014305114746,0.015624523162841797,4,0
0,11,tree_based_weighting,625,4,3,0.925531914893617,0.6305065373966677,0.1250014305114746,0.03123784065246582,4,0
0,11,l1filter,625,4,3,0.9308510638297872,0.7005307760483573,0.0,0.018986940383911133,4,0
0,11,relieff,625,4,3,0.776595744680851,0.5286024048886261,0.03198122978210449,0.003046751022338867,3,0
0,11,relieff_weighting,625,4,3,0.7978723404255319,0.5434782608695653,0.03198122978210449,0.031248092651367188,3,0
0,11,forward_selection,625,4,3,0.9308510638297872,0.7005307760483573,0.290830135345459,0.01562356948852539,4,0
0,11,backwards_selection,625,4,3,0.776595744680851,0.5286024048886261,0.09717059135437012,0.015627145767211914,3,0
0,11,stepwise_selection,625,4,3,0.9308510638297872,0.7005307760483573,0.06530499458312988,0.015624761581420898,4,0
0,11,bayesselection,625,4,3,0.9308510638297872,0.7005307760483573,0.9583334922790527,0.017623424530029297,4,7
0,11,bayeswweighting,625,4,3,0.925531914893617,0.6304842378940526,2.538741111755371,0.015614509582519531,4,31
0,14,baseline,2000,76,10,0.7483333333333333,0.752716540674413,0.0,0.07046055793762207,76,0
0,14,intercorrelation_filter,2000,76,10,0.7483333333333333,0.752716540674413,0.07225918769836426,0.06061553955078125,76,0
0,14,correlation_weighting,2000,76,10,0.7816666666666666,0.7871187029789511,0.07225918769836426,0.09375429153442383,76,0
0,14,tree_based_filter,2000,76,10,0.695,0.6899682466360153,0.6561548709869385,0.046859025955200195,38,0
0,14,tree_based_weighting,2000,76,10,0.7416666666666667,0.7516694855839592,0.6561548709869385,0.06249594688415527,38,0
0,14,l1filter,2000,76,10,0.7933333333333333,0.7984490486365768,0.058585405349731445,0.05571699142456055,49,0
0,14,relieff,2000,76,10,0.7683333333333333,0.7740612072990809,0.19753098487854004,0.06249547004699707,57,0
0,14,relieff_weighting,2000,76,10,0.11333333333333333,0.02035928143712575,0.19753098487854004,0.07811975479125977,57,0
0,14,forward_selection,2000,76,10,0.7733333333333333,0.7809579545399197,21.275733947753906,0.044541120529174805,10,0
0,14,backwards_selection,2000,76,10,0.7483333333333333,0.7525166955234099,6.6749958992004395,0.06249547004699707,75,0
0,14,stepwise_selection,2000,76,10,0.7366666666666667,0.736093676304099,10.925887823104858,0.04686141014099121,39,0
0,14,bayesselection,2000,76,10,0.7666666666666667,0.7707630688001993,54.41317677497864,0.04688262939453125,41,147
0,14,bayeswweighting,2000,76,10,0.77,0.7769467612342466,153.67270946502686,0.09375429153442383,76,456
0,15,baseline,683,9,2,0.975609756097561,0.9697862932940309,0.0,0.015611886978149414,9,0
0,15,intercorrelation_filter,683,9,2,0.9707317073170731,0.9639338494018297,0.0,0.015623331069946289,8,0
0,15,correlation_weighting,683,9,2,0.9707317073170731,0.9639338494018297,0.0,0.015634536743164062,8,0
0,15,tree_based_filter,683,9,2,0.9463414634146341,0.9348811689624303,0.12498974800109863,0.01561594009399414,5,0
0,15,tree_based_weighting,683,9,2,0.9512195121951219,0.9405038309728349,0.12498974800109863,0.015622377395629883,5,0
0,15,l1filter,683,9,2,0.9707317073170731,0.9639338494018297,0.015636444091796875,0.015621662139892578,8,0
0,15,relieff,683,9,2,0.975609756097561,0.9697862932940309,0.037607669830322266,0.008053779602050781,6,0
0,15,relieff_weighting,683,9,2,0.9658536585365853,0.9577008106116434,0.037607669830322266,0.029938697814941406,6,0
0,15,forward_selection,683,9,2,0.9317073170731708,0.9183173952641166,0.37915778160095215,0.015623092651367188,2,0
0,15,backwards_selection,683,9,2,0.9707317073170731,0.9639338494018297,0.25305914878845215,0.015623092651367188,8,0
